delaware
,wilmington
,,newark - christiana
,,,radisson hotel memphis airport,Radisson Hotel Airport Memphis (Tennessee)
,,,holiday inn select airport,Holiday Inn Select International Airport Memphis (Tennessee)
,,,super,Super 7 Inn Graceland Memphis (Tennessee)

,,,Hotel Matched : 4,Hotel Not Matched : 0

,,east
,,,courtyard eastpark ave,Courtyard Hotel East Park Avenue Memphis (Tennessee)
,,,doubletree,Doubletree Hotel Memphis (Tennessee)
,,,hilton memphis,Hilton Hotel Memphis (Tennessee)
,,,hyatt place primacy parkway,Hyatt Place Hotel Primacy Parkway Memphis (Tennessee)
,,,holiday inn select east,Holiday Inn Select East Poplar Memphis (Tennessee)
,,,park place,Park Place Hotel Memphis (Tennessee)
,,,holiday inn sycamore view,Days Inn Sycamore View Memphis

,,,Hotel Matched : 7,Hotel Not Matched : 5


iowa
,iowa city
,,,sheraton iowa city,Sheraton Hotel Iowa City
,,,holiday inn coralville ,Holiday Inn Coralville
,,,country inn and suites coralville,Country Inn & Suites Coralville
,,,holiday inn express coralville,Holiday Inn Express Hotel & Suites Coralville
,,,best western cantebury inn and suites,Best Western Canterbury Inn & Suites Coralville
,,,comfort inn coralville,Comfort Inn Coralville

,,,Hotel Matched : 6,Hotel Not Matched : 1

,dubuque
,,,holiday inn express,Holiday Inn Express Hotel & Suites West Dubuque
,,,comfort inn,Comfort Inn Dubuque
,,,fairfield inn,Fairfield Inn Dubuque
,,,holiday inn,Holiday Inn Express Hotel & Suites West Dubuque

,,,Hotel Matched : 4,Hotel Not Matched : 1

,cedar rapids
,,,crowne plaza five seasons,Crowne Plaza Hotel Five Seasons Cedar Rapids
,,,marriott cedar rapids,Marriott Hotel Cedar Rapids
,,,howard johnson,Howard Johnson Inn Cedar Rapids

,,,Hotel Matched : 3,Hotel Not Matched : 0

,keokuk
,,,holiday inn express,Holiday Inn Express Keokuk

,,,Hotel Matched : 1,Hotel Not Matched : 0

,des moines
,,des moines
,,,marriott downtown,Marriott Hotel Downtown Des Moines
,,,renaissance savery,Renaissance Savery Hotel Des Moines
,,,embassy suites,Embassy Suites Des Moines
,,,holiday inn,Holiday Inn Downtown Mercy Campus Des Moines

,,,Hotel Matched : 4,Hotel Not Matched : 0

,,west des moines
,,,marriott,Marriott Hotel West Des Moines
,,,sheraton,Sheraton Hotel West Des Moines
,,,chase suites,Chase Suite Hotel Des Moines Clive
,,,country inn and suites,Country Inn & Suites Des Moines West Clive
,,,la quinta inn des moines west,La Quinta Inn & Suites West Clive Des Moines
,,,springhill suites,Springhill Suites West Des Moines
,,,clive hotel and suites,Best Western Des Moines West Inn & Suites Clive
,,,fairfield inn,Fairfield Inn & Suites West Des Moines
,,,holiday inn,Holiday Inn Hotel & Suites Jordan Creek West Des Moines
,,,studio plus,StudioPlus Hotel West Des Moines

,,,Hotel Matched : 10,Hotel Not Matched : 2

,,urbandale - merle hay

,,,Hotel Matched : 0,Hotel Not Matched : 1

,,airport dsm
